ticker,chinese_name,english_name
000001.SZ,平安银行,"Ping An Bank Co., Ltd."
000002.SZ,万科A,China Vanke Co Ltd
000063.SZ,中兴通讯,ZTE Corporation
000100.SZ,TCL科技,TCL Technology Group Corporation
000157.SZ,中联重科,Zoomlion Heavy Industry Science & Technology Co Ltd
000166.SZ,申万宏源,"Shenwan Hongyuan Group CO., LTD"
000301.SZ,东方盛虹,"Jiangsu Eastern Shenghong Co.,Ltd."
000333.SZ,美的集团,"Midea Group CO., LTD"
000338.SZ,潍柴动力,Wei Chai Power Co Ltd
000408.SZ,藏格矿业,ZANGGE MINING COMPANY LIMITED
000425.SZ,徐工机械,XCMG Construction Machinery Co Ltd
000538.SZ,云南白药,"Yunnan Baiyao Group Co., Ltd."
000568.SZ,泸州老窖,Luzhou Lao Jiao Co Ltd
000596.SZ,古井贡酒,Anhui Gujing Distillery Co Ltd
000617.SZ,中油资本,CNPC Capital Company Limited
000625.SZ,长安汽车,Chongqing Changan Automobile Co Ltd
000630.SZ,铜陵有色,Tongling Nonferrous Metals Group Co. Ltd
000651.SZ,格力电器,"Gree Electric Appliances,Inc. of Zhuhai"
000657.SZ,中钨高新,China Tungsten and Hightech Materials Co Ltd
000708.SZ,中信特钢,"CITIC Pacific Special Steel Group Co., Ltd"
000725.SZ,京东方A,BOE Technology Group Co Ltd
000768.SZ,中航西飞,AVIC XI'AN AIRCRAFT INDUSTRY GROUP COMPANY LTD.
000776.SZ,广发证券,"GF Securities Co., Ltd."
000792.SZ,盐湖股份,Qinghai Salt Lake Industry Co Ltd
000807.SZ,云铝股份,Yunnan Aluminium Co Ltd
000858.SZ,五 粮 液,Wuliangye Yibin Co Ltd
000895.SZ,双汇发展,Henan Shuanghui Investment & Development Co Ltd
000938.SZ,紫光股份,"Unisplendour Co., Ltd."
000963.SZ,华东医药,Huadong Medicine Co Ltd
000975.SZ,山金国际,"Shanjin International Gold Co.,Ltd."
000977.SZ,浪潮信息,"Inspur Electronic Information Industry Co.,Ltd"
000988.SZ,华工科技,Huagong Tech Co Ltd
000999.SZ,华润三九,China Resources Sanjiu Medical & Pharmaceutical Co Ltd
001280.SZ,中国铀业,"China National Uranium Co., Ltd."
001391.SZ,国货航,"Air China Cargo Co., Ltd."
001965.SZ,招商公路,"China Merchants Expressway Network Technology Holdings Co., Ltd."
001979.SZ,招商蛇口,"CHINA MERCHANTS SHEKOU INDUSTRIAL ZONE HOLDINGS CO.,LTD"
002001.SZ,新和成,Zhejiang NHU Co Ltd
002027.SZ,分众传媒,"Focus Media Information Technology Co., Ltd."
002028.SZ,思源电气,"Siyuan Electric Co., Ltd."
002049.SZ,紫光国微,"Unigroup Guoxin Microelectronics Co., Ltd."
002050.SZ,三花智控,"ZHEJIANG SANHUA INTELLIGENT CONTROLS CO.,LTD."
002074.SZ,国轩高科,"GUOXUAN HIGH-TECH CO.,LTD."
002142.SZ,宁波银行,Bank of Ningbo Co Ltd
002179.SZ,中航光电,"Jonhon Optronic Technology Co.,Ltd"
002202.SZ,金风科技,"GOLDWIND SCIENCE & TECHNOLOGY CO.,LTD."
002230.SZ,科大讯飞,"Iflytek Co.,Ltd."
002236.SZ,大华股份,Zhejiang Dahua Technology Co Ltd
002241.SZ,歌尔股份,GoerTek Inc
002304.SZ,洋河股份,Jiangsu Yanghe Brewery Joint-Stock Co Ltd
002311.SZ,海大集团,Guangdong Haid Group Co Ltd
002352.SZ,顺丰控股,"S.F. Holding Co., Ltd."
002353.SZ,杰瑞股份,Yantai Jereh Oilfield Services Group Co Ltd
002371.SZ,北方华创,"NAURA Technology Group Co.,Ltd."
002384.SZ,东山精密,Suzhou Dongshan Precision Manufacturing Co Ltd
002415.SZ,海康威视,Hangzhou Hikvision Digital Technology Co Ltd
002422.SZ,科伦药业,Sichuan Kelun Pharmaceutical Co Ltd
002460.SZ,赣锋锂业,Ganfeng Lithium Co Ltd
002463.SZ,沪电股份,Wus Printed Circuit (Kunshan) Co Ltd
002466.SZ,天齐锂业,"Tianqi Lithium Industries, Inc."
002475.SZ,立讯精密,"Luxshare Precision Industry Co., Ltd."
002493.SZ,荣盛石化,Rongsheng Petro Chemical Co Ltd
002532.SZ,天山铝业,"TIANSHAN ALUMINUM GROUP CO.,LTD."
002558.SZ,巨人网络,"Giant Network Group Co., Ltd."
002594.SZ,比亚迪,BYD Co Ltd
002600.SZ,领益智造,LINGYI iTECH (GUANGDONG) COMPANY
002602.SZ,世纪华通,"ZHEJIANG CENTURY HUATONG GROUP CO., LTD"
002625.SZ,光启技术,"Kuang-Chi Technologies Co., Ltd."
002648.SZ,卫星化学,"SATELLITE CHEMICAL CO., LTD."
002709.SZ,天赐材料,"Guangzhou Tinci Materials Technology Co., Ltd"
002714.SZ,牧原股份,"MUYUAN FOODS GROUP CO., LTD."
002736.SZ,国信证券,"GUOSEN SECURITIES CO., LTD."
002837.SZ,英维克,"SHENZHEN ENVICOOL TECHNOLOGY CO.,LTD."
002916.SZ,深南电路,"Shennan Circuits Co., Ltd."
002920.SZ,德赛西威,"Huizhou Desay SV Automotive Co., Ltd."
002938.SZ,鹏鼎控股,"Avary Holding (Shenzhen) Co., Limited"
003816.SZ,中国广核,"CGN Power Co., Ltd."
300014.SZ,亿纬锂能,Eve Energy Co Ltd
300015.SZ,爱尔眼科,Aier Eye Hospital Group Co Ltd
300033.SZ,同花顺,"Hithink Royalflush Information Network Co.,Ltd."
300059.SZ,东方财富,East Money Information Co Ltd
300122.SZ,智飞生物,Chongqing Zhifei Biological Products Co Ltd
300124.SZ,汇川技术,Shenzhen Inovance Technology Co Ltd
300251.SZ,光线传媒,Beijing Enlight Media Co Ltd
300274.SZ,阳光电源,Sungrow Power Supply Co Ltd
300308.SZ,中际旭创,"ZHONGJI INNOLIGHT CO., LTD."
300316.SZ,晶盛机电,"Zhejiang Jingsheng Mechanical & Electrical Co., Ltd."
300394.SZ,天孚通信,"Suzhou TFC Optical Communication Co., Ltd."
300408.SZ,三环集团,"CHAOZHOU THREE-CIRCLE(GROUP)CO.,LTD"
300413.SZ,芒果超媒,"Mango Excellent Media Co., Ltd."
300418.SZ,昆仑万维,"Beijing Kunlun Tech Co., Ltd."
300433.SZ,蓝思科技,"Lens Technology Co., Ltd."
300442.SZ,润泽科技,Range Intelligent Computing Technology Group Company Limited
300450.SZ,先导智能,"WUXI LEAD INTELLIGENT EQUIPMENT CO., LTD."
300476.SZ,胜宏科技,"Victory Giant Technology (HuiZhou)Co.,Ltd."
300498.SZ,温氏股份,"GUANGDONGWENSFOODSTUFFGROUPCO.,LTD"
300502.SZ,新易盛,"Eoptolink Technology Inc., Ltd"
300628.SZ,亿联网络,YEALINK NETWORK TECHNOLOGY CORPORATION LIMITED
300661.SZ,圣邦股份,SG Micro Corp.
300750.SZ,宁德时代,"Contemporary Amperex Technology Co., Limited."
300760.SZ,迈瑞医疗,"Shenzhen Mindray Bio-Medical Electronics Co., Ltd."
300803.SZ,指南针,"Beijing Compass Technology Development Co., Ltd."
300832.SZ,新产业,"Shenzhen New Industries Biomedical Engineering Co., Ltd."
300866.SZ,安克创新,"Anker Innovations Technology Co., Ltd"
300896.SZ,爱美客,"IMEIK TECHNOLOGY DEVELOPMENT CO.,LTD."
300999.SZ,金龙鱼,"Yihai Kerry Arawana Holdings Co., Ltd"
301165.SZ,锐捷网络,"Ruijie Networks Co., Ltd."
301236.SZ,软通动力,"iSoftStone Information Technology (Group) Co., Ltd."
301269.SZ,华大九天,"Empyrean Technology Co., Ltd."
301308.SZ,江波龙,"Shenzhen Longsys Electronics Co., Ltd."
302132.SZ,中航成飞,AVIC CHENGDU AIRCRAFT COMPANY LIMITED
600000.SS,浦发银行,Shanghai Pudong Development Bank Co Ltd
600009.SS,上海机场,Shanghai International Airport Co Ltd
600010.SS,包钢股份,Inner Mongolia Baotou Steel Union Co Ltd
600011.SS,华能国际,Huaneng Power International Inc
600015.SS,华夏银行,Hua Xia Bank Co Ltd
600016.SS,民生银行,China Minsheng Banking Corp Ltd
600018.SS,上港集团,Shanghai International Port (Group) Co Ltd
600019.SS,宝钢股份,Baoshan Iron &Steel Co Ltd
600023.SS,浙能电力,"Zhejiang Zheneng Electric Power Co., Ltd."
600025.SS,华能水电,HuanengLancang River Hydropower Inc.
600026.SS,中远海能,"COSCO SHIPPING Energy Transportation Co., Ltd."
600027.SS,华电国际,Huadian Power International Corporation Ltd
600028.SS,中国石化,China Petroleum & Chemical Corporation
